proposition,auteur,age
Il faut créer des monnaies locales ,Joanna,46
Il faut transformer les aéroports en immenses jardins/potagers de permaculture partagés. Recycler le personnel dans l'agriculture bio ,Beatrice,
Il faut développer très fortement les transports en commun partout en fonction des besoins car l'électrique pollue fortement,Aline,39
"Il faut reporter au maximum le transport de marchandises réalisé par la route, en utilisant notre réseau fluvial.",Henri,
"Il faut inviter les gens dehors, sortir, observer...Vivre des expériences en solo, en duo et plus pour (re)créer des liens Homme-Nature ",Virginie,
Il faut retirer la rémunération 5 ans après la fin de leur mandat de sénateur ou député. ,Séverine,
Il faut stopper définitivement toute sorte de maltraitance animale à commencer par les élevages intensifs ! ,Justine,19
Il faut développer la coopération et la communication bienveillante chez les adultes et les enfants dès le plus jeune âge .,M.P.,
"Il faut abolir l'élevage intensif, privilégier une alimentation végétale organique, locale et en circuits courts",Hélène,
Il faut plus de coopération européenne en créant une dette commune (au moins avec les pays qui veulent).,Hana-Rose,
"Il faut partager les richesses, et abolir la propriété privée. La terre n'appartient à personne !",Christine,
Il faut utiliser la capacité d'analyse et de prospective de l'IA et l'intégrer aux prises de décisions de nos gouvernants,Xavier,
Il faut rendre le télétravail obligatoire dans les entreprises où il a été possible pendant le confinement. ,Laure,
"Il faut des moyens de sensibilisation du citoyen pour définir ce que sont des produits responsables, de qualité écologique et sociale.",Chaire Positive Business de l’Université Paris Nanterre,
Il faut aider l'agriculture conventionnelle à faire sa transition en agriculture biologique et en finir avec l'agriculture intensive néfaste,Marie,34
Il faut appliquer les propositions de la Convention Citoyenne pour le Climat.,David,
"Il faut laisser tranquille la faune sauvage en arrêtant de massacrer, renards, loups, blaireaux, tous ces animaux classés nuisibles",Martine,
Il faut soumettre toute décision politique au principe de non-régression écologique : toute loi votée doit être garante de l'environnement.,Anaïs,27
"Il faut abandonner ce système économique et le repenser. Supprimer la bourse ! Et créer un monde plus juste, plus équitable, plus HUMAIN !",Krystel,47
Il faut créer une police spécialisée dans la protection animale et environnementale,Rémi,
Il faut limiter la vente d'armes à des pays qui ne respectent pas les droits de l'homme,Antoine,
Il faut instaurer une consigne pour le verre,Camille,
Il faut rendre le micro-crédit facilement accessible dans toutes les villes en reconvertissant les entreprises qui ne sont plus viables.,Alice,
Il faut réduire drastiquement notre hégémonie sur la biodiversité.,noël,57
"Il faut des bateaux à voile, des ballons transporteurs, des camping-cars solaires.",bridon,57
Il faut rendre obligatoire les toits végétalisés sur toutes les constructions neuves et des crédits d’impôts sur l’ancien pour le faire ,Nicolas,
Il faut que tout le monde travaille au moins un jour par semaine à la protection de la planète et de l'humanité.,MAUD,49
Il faut interdire la corrida et fermer les écoles de tauromachie (éducation à l'éthique animale dès le plus jeune âge),Philippine,30
"Il faut soutenir le développement des énergies renouvelables (éolien, solaire, biométhane) respectant des principes de durabilité ",Arnaud ,
Il faut les entreprises et particuliers puissent s’enrichir par un autre moyen que le crédit,jean-françois ,42
Il faut interdire toute forme de spéculation financière et toute optimisation fiscale.,Aqruc,
Il faut organiser des rencontres mondiales entre les principaux chefs religieux pour une table commune,fabien,
Il faut surtaxer les produits phytosanitaires et semences de l'agriculture conventionnelle (non bio),Marie,
Il faut un retour d'une forme de planification de l’économie. Guider les investissements publics et privés vers des activités vertueuses.,Alexandre Valentin,23
"Il faut que l'Union Européenne se démarque de cette mondialisation sauvage, sport funeste que j'appelle le ping-trump",Guillaume,51
"Il faut isoler massivement les bâtiments pour l'environnement, pour la facture énergétique, pour l'emploi et pour la résilience.",David,
Il faut que les institutions offrent des panneaux publics aux acteurs petits et grands de l'éco-développement,Gaëtan,
"Il faut arrêter d'être individualiste et être plus collectif, plus solidaire les uns envers les autres comme le font les abeilles.",Armelle,52
Il faut interdire les OGM et pesticides.,fabrice,61
Il faut arrêter de manger de la viande provenant de l'élevage intensif et tenter l'agroforesterie... ,Louve,
"Il faut généraliser l'agroécologie en circuits courts pour la santé, pour l'environnement, pour l'emploi et pour l'autonomie alimentaire.",David,
Il faut faire dépendre l'accord d'un bonus aux dirigeants sur des critères environnementaux exigeants et mesurables. ,Paula,
Il faut rémunérer les personnes selon leur utilité dans la société ,Mélinda,
Il faut mettre a contribution tous les revenus  (salaire et placement financier) (>2500€) n'ayant pas été impacté par le confinement,Dominique,62
"Il faut valoriser la végétalisation de l'alimentation, meilleure pour la santé, la planète et les autres êtres vivants.",Jérôme,
Il faut interdire la chasse,Matlum,
Il faut obliger les décideurs à intégrer pistes cyclables sécurisées et voies pour les piétons à chaque entretien ou création de route. ,Eliane,
"Il faut supprimer totalement les subventions des élevages intensifs, des élevages de fourrures, chiens de laboratoires, cirques et corridas.",Patricia,
Il faut définir un indicateur plus large pour définir le Produit Intérieur Brut et tenir compte du bien-être de la population concernée ,alain,70
"Il faut éteindre la lumière la nuit dans les administrations, entreprises et commerces.",Carmen,
"Il faut favoriser les villages avec 100% d'agriculture biologique, comme le village de Correns, 100% bio depuis 1995",Guillaume,59
"Il faut décentraliser le pays, faire vivre la province et les villages. Tout ne doit pas se situer dans les grandes villes.",Clara,
Il faut nous apprendre à cuisiner des protéines végétales et ainsi diminuer notre consommation de protéines animales et son fort impact CO2.,Elodie,
Il faut interdire les vaches à hublot,Camille,
Il faut arrêter de donner la légion d'honneur aux sportifs et artistes et la donner à celles/ceux qui se dévouent pour les autres,Paul,
Il faut concentrer nos efforts sur les plus pauvres.,Pierre Emmanuel ,62
Il faut boycotter nos achats sous emballage plastique non recyclables coûte que coûte,Marie-Aude,
"Il faut une protection sanitaire, économique, agricole et écologique, sociale au niveau européen. ",Edouard,
"Il faut accélérer le développement du télétravail et que cela soit accompagné d'un stockage non polluant des données (""serveurs propres"")",Gauthier,31
"Il faut interdire la chasse, ""exutoire de la violence"" (Théodore Monod) et favoriser le retour des loups, lynx, castors...",Julien,
"Il faut approfondir la protection animale, en commençant par interdire certaines pratiques (élevage intensif, cirques avec animaux, corrida)",Sophia,
Il faut instaurer un pesage de nos ordures afin de récompenser les bons gestes et pointer les mauvais,Patricia,
Il faut baisser fortement la consommation de viande.,Dorothee,
"Il faut subventionner l'agriculture ""végétale"" bio et locale pour permettre à chacun de s'alimenter sainement avec un budget modéré.",Marianne,44
Il faut  réduire le nombre de bovins et de porcs de moitié et supprimer totalement l'élevage intensif,Ma,
Il faut accompagner nos agriculteurs vers une agriculture sans pétrole et résiliente face au dérèglement climatique,Mélanie,
Il faut que la réduction des énergies fossiles et la protection de la biodiversité deviennent les top priorités,Camille,
Il faut taxer les revenus du capital,Arnaud,
"Il faut un plan massif contre les violences faites aux femmes, incluant un accompagnement économique pour ces femmes",Marine,
"Il faut regarder notre vie de vie autrement, mieux consommer, cuisiner, prendre le temps avec ses proches, ses êtres chers ...",Guillaume,57
"Il faut que l'essentiel ne relève plus du pouvoir financier mondialisé: la Santé, l'Education, la Culture, l'Alimentation, l'Energie propre.",JOELLE,
Il faut développer le plus possible le télétravail pour moins de CO2 émis ,Fulvia,
"Il faut repenser le modèle éducatif et son organisation, devenus obsolètes",Alain ,59
"Il faut et faudra vivre de façon différente, mieux respecter notre Environnement par nos actions communes ...",Guillaume,57
"Il faut que le train devienne un moyen de transport peu coûteux, et que le tram soit gratuit.",Alexandre,26
"Il faut interdire la publicité intrusive (téléphone, interruption d'un film, de la lecture d'un article)",Anne,55
Il faut stopper l'exploitation animale mais également l'expansionnisme humain et rendre des terres sauvages à la faune et à la flore. ,Lorraine,24
Il faut nationaliser les autoroutes pour que l'argent entre dans les caisses publiques ,Clara,
Il faut renforcer les services sociaux et équipes mobiles pour une fluidité des parcours de soin et d'insertion,Pascale,
Il faut créer de l'énergie renouvelable ,sarah,32
"Il faut sanctionner, après une crise, les pouvoirs publics qui ont désinformé la population (ex : non-nécessité de masques)",Cyprien,
Il faut que le bio soit la norme standard ,Blandine,
"Il faut enseigner les droits (et devoirs) dès le plus jeune âge, donc à l'école",Françoise,65
"Il faut se réaproprier la beauté, la sagesse et l'humilité devant la vie. Je ne crois pas en Dieu et quand il s'appelle argent, encore moins",Cal,62
Il faut nationaliser la Française des Jeux qui permet à l'Etat d'avoir des dizaines de milliards d'€ sans efforts pour les caisses publiques,Clara,
Il faut limiter les véhicules à moteur dans les forêts et apprendre aux chasseurs à se déplacer à pieds,Marie Ange,
"Il faut que l'on renouvelle notre Assemblée par tiers, afin de pouvoir ""corriger"" l'action gouvernementale, si nécessaire",Antoine,
Il faut nationaliser le système bancaire pour que tout le monde puisse y accéder,Mailhé,63
Il faut baisser les charges des entreprises sous contrainte de création d'emplois/valeur et non augmenter SMIC,Mulder ,49
"Il faut de la végétalisation utile dans les villes et communes, arbres fruitiers, baies...Et la création de potagers au pieds des immeubles",Thierry,
Il faut capitaliser sur les expériences acquises en matière de travail à distance pendant le confinement,Jean-Christophe,
Il faut généraliser le moteur à hydrogène ne rejetant que de la vapeur d’eau pour remplacer le pétrole,Endive,38
Il faut plus de soignants par service et dans les EHPAD pour assurer une bonne qualité de soins techniques et de relationnel.,Eve,28
"Il faut interdire aux grandes entreprises d’optimiser le paiement de leur impôt sur les sociétés dans les paradis fiscaux. 

",Pascal,62
"Il faut respecter les arbres, ne plus les tailler en ville comme des imbéciles. (Platanes par ex)",fabrice,61
"Il faut réglementer très strictement les allégations santé sur les aliments exotiques qui viennent de loin : chia, goji, quinoa...",Anne,55
Il faut réindustrialiser la France sur des secteurs essentiels (même si c'est plus cher) et être moins dépendant des autres pays.,Laurent,
Il faut respecter la vie humaine de sa conception à sa mort naturelle,Bruno,68
Il faut faire des sondages pour l'ensemble du pays et des citoyens afin de savoir ce qui est bien de faire pour une amélioration responsable,Rodolphe,
Il faut moins donner aux actionnaires et récompenser ceux qui travaillent dur pour le bien de tous,jpduflot,
Il faut arrêter la croissance à tout prix,Bernard,
"Il faut informer le public sur la pollution numérique, stockage des mails, vidéos à gogo...",cecile,
"Il faut repenser le transport des marchandises vers des modes plus écologiques (ferroutage, péniches, dirigeables...)",Olivier,47
"Il faut changer nos habitudes et nous responsabiliser pour consommer de façon plus cohérente : alimentation végétale, sobriété numérique",Hélène,
Il faut (au vu de l'engouement actuel pour l'agriculture) encourager et accompagner toute (bonne) volonté de reprise d'activité agricole.,Mounir,
Il faut réguler voire interdire la spéculation boursière gérée par les ordinateurs dite à haute fréquence ,Kasia,
Il faut imposer un délai minimum d'un an entre l'achat d'une action et sa revente pour privilégier l'investissement à long terme.,Marie-Laure,58
"Il faut revaloriser les salaires des personnes qui travaillent avec l'humain : AVS, aide-soignants, infirmiers, aides à domicile...",michele,
"Il faut produire moins: le textile deuxième production la plus polluante, élevage intensif, dû à une surconsommation de viande",Aline,39
Il faut que la protection du climat et de la biodiversité deviennent cause nationale.,Alain ,59
Il faut interdire la spéculation financière,Patricia,
Il faut établir une égalité salariale homme femme à postes et compétences égales ,Sandra,45
"Il faut arrêter le plus vite possible l'élevage intensif, exiger des caméras vidéo dans les abattoirs ainsi que des cadences réduites",nellie,70
Il faut plébisciter et étendre les réseaux d'AMAP à travers la France,Elise,37
Il faut interdire la vente de produits contenant plus de 30% de sucre hormis les confitures,Vincent,55
Il faut remettre en cause le pouvoir des centrales d'achat et celui de la grande distribution au profit des producteurs locaux.,Aqruc,
"Il faut réfléchir à des actions solidaires et locales (entraide intergénérationnelle, aides au devoirs, visites dans les hôpitaux) ",veronique,
Il faut en finir avec toutes les discriminations,Isabelle,
Il faut mettre à disposition des  citoyens des espaces d'autoproduction maraîchère au coeur des villes favorisant les liens interpersonnels,Cyril,
"Il faut adopter une alimentation plus végétale, locale et de saison",Emilien,
"Il faut que la France oblige la contribution de chaque citoyen français, afin qu'il n'y ait plus de sans domicile fixe dans les rues.",Nasser,28
"Il faut stopper les élevages intensifs, gigantesques, et contrôler les transports d'animaux vivants et les abattoirs.",Pitou,60
"Il faut mettre en place par quartiers (chics, moins chics) des systèmes vertueux de collecte et de tri d'ordures, jardins partagés, composts",fred,56
"Il faut faire évoluer fondements de l'Europe sur les thèmes sociaux et environnementaux, et non sur la seule finance.",Mathieu,
Il faut sortir de l'Europe,Blandine,
Il faut relocaliser en France la fabrication des médicaments,PattyDuBoisJoli,57
Il faut réduire les lumières des villes la nuit et éteindre les enseignes commerciales,J-Paul,
Il faut mettre en place un grand système de santé avec des soignants en nombre bien payés,Annelaure ,
Il faut interdire production/importation/vente de cannettes de boissons en alu car l'industrie de l'aluminium est l'une des plus polluante ,Catherine,
Il faut d'abord changer les mentalités avant de tout changer surtout au niveau de nos gouvernants ,Olivier,
"Il faut concrétiser le droit à un revenu universel en termes de niveau revenu minimal, en fonction d’un standard de vie local ",Bl,
Il faut encourager les métiers et les formations médicales et agricoles,J-Paul,
Il faut conserver notre système de sécurité sociale,Sandra,45
Il faut renforcer nos systèmes de santé en donnant aux hôpitaux les moyens dont ils ont besoin pour fonctionner durablement et pour tous.,Marie,34
Il faut que les enfants du monde puisent manger et boire,Jeane,
"Il faut du maraîchage bio en circuit court dans toutes les communes, avec potager pédagogique pour les écoliers, et pour les cantines.",David,
Il faut favoriser l'émergence des énergies vertes à grande échelle.,Anne-Marie,54
Il faut réduire les charges au société produisant en France et à l’inverse augmenter les charges de celles qui produisent à l’étranger ,kevin,32
Il faut renforcer la protection de l'environnement et la recherche,Nguyen,
Il faut déclencher un réel débat citoyen autour de nos modes de production et de consommation. ,Lil,24
Il faut lancer des campagnes de sensibilisation sur l'impact de la consommation de viande dans le monde,PHILIPPE,
Il faut taxer et interdire le mésusage de l'eau et de l'énergie.,Sandrine,
"Il faut revaloriser les métiers liés à l’education, la santé",Carole,
"Il faut une mobilité sans embouteillages, ni pollutions, ni accidents : Covoiturage, auto portage, navette autonome, plateforme de mobilité",Florence,51
"Il faut apprendre à vivre dans l'indivision : animaux, végétaux, micro-organismes et nous ",Kriya,
Il faut développer de nouveaux circuits permettant de réduire le gaspillage alimentaire et agricole en allant encore plus loin,Elodie,28
"Il faut interdire l'importation de produits de qualité très médiocre, quasiment inutilisables. Exiger un minimum qualitatif.",Anthony,33
"Il faut créer vraiment pour toutes les entreprises, des moyens à utiliser pour éviter de polluer. Et que tout le monde y contribue. ",Marie_Paule ,55
"Il faut faire un baromètre des actions non-nocives à mettre en place pour les familles et entreprises (bio, empreinte carbone,...)",Cha,
"Il faut plus de veritables pistes cyclables continues, mieux protégées des voitures, et mieux balisées dans les ronds points.",Sandrine,44
Il faut former nos enfants sur l'importance de notre formidable terre nourricière.,Patricia,
"Il faut créer un prêt à taux 0 pour isoler, changer de mode de chauffage ou de véhicule avec remboursement basé sur les économies réalisées ",Boucherie,
"Il faut mettre en place la stérilisation obligatoire de tous les chats, la situation est désastreuse",valerie,
Il faut relocaliser la santé et l'industrie,Alexandre,
Il faut que les données privées et sensibles des personnes soient uniquement gérées par l'état,Francesco,35
Il faut moduler les taxes sur les produits en fonction de leur impact social et environnemental ,Fabienne,65
Il faut davantage plafonner les dons privés aux partis politiques. Dix euros par an et par citoyen maximum. ,Rémi,33
"Il faut consolider les services publics, rendre pleinement visible leur contribution à l'intérêt commun.",Sasha,50
"Il faut donner un vrai statut social aux artistes plasticiens, calqué sur celui des intermittents par exemple..",Juliette,
"Il faut interdire la publicité des produits alimentaires pour les enfants, comme au Chili.",Guillaume,59
"Il faut autoriser la vente de toutes les semences paysannes anciennes et traditionnelles, pour développer la biodiversité cultivée",Yoann,27
"Il faut encadrer les critères des véhicules commercialisés (poids, puissance, taille) pour limiter leur pollution ",Forestier,
Il faut mettre en place des tarifs énergétiques taxant davantage les particuliers consommateurs et récompensant les foyers économes,Rodriguez,
"Il faut une économie locale, circulaire, sobre en consommation de ressources non renouvelables, créatrice d’emplois et de liens sociaux.",Florence,51
"Il faut obliger les entreprises à donner une journée  ""bénévolat"" par semaine à leurs salariés, pour aider les associations. ",Elodie,
"Il faut arrêter de subventionner les filières polluantes, et faciliter les reconversions (agroécologie, isolation, services à la personne).",David,
"Il faut recentrer notre société vers la protection du vivant et l'intérêt général, sortir de l'idée de toujours plus pour toujours mieux !",Louis,
"Il faut ""éduquer"" les jeunes, la génération à venir, en leur apprenant par ex à cultiver un potager, et à respecter les écosystèmes naturels",julie,29
"Il faut que nous préférions les centrales hydrauliques, les panneaux solaires, ainsi que les éoliennes pour avoir de l'énergie.",Marie_Paule ,55
Il faut revoir le rôle et le fonctionnement des institutions financières européennes pour plus de solidarité,Thomas,47
Il faut supprimer totalement l'usage du glyphosate et autres dérivés mortels pour notre santé et celle de notre planète.,Patricia,
"Il faut créer des forêts jardins, jardins partagés, vergers en libre accès dans chaque commune où cela est possible.",Françoise,
"Il faut dénoncer, pénaliser et punir sévèrement les propriétaires marchands de sommeil lorsqu'ils n'exécutent pas les travaux de rénovation.",Edouard,
Il faut stopper la mondialisation et produire localement ce qui peut l'être.,Anthony,34
Il faut rendre tout de suite aux vélos et aux piétons certains grands axes des villes,Jean-Christophe,
Il faut plus d'initiatives collectives pour l'inclusion dans tous les secteurs les plus vulnérables,Faïze,
Il faut élargir les points de vues des uns et des autres : les salariés du Public fasse un stage d'un an dans le privé et réciproquement.,Pascal,
Il faut interdire (ou taxer très fortement) tous les flux financiers vers ou en provenance des paradis fiscaux.,David,
Il faut lutter contre le gaspillage alimentaire : il faut des épiceries solidaires pour revaloriser les invendus,Florence,51
Il faut réfléchir sérieusement au problème démographique.,Isabelle,
Il faut aider les SDF. Il ne devrait plus y avoir personne dans les rues.,Nelly,
Il faut augmenter le nombre de tranches d’imposition sur le revenu pour plus d’équité et de justice ,Lora,26
"Il faut repenser notre économie et que la décroissance devienne le maître mot ! L'humain est désormais en danger, la planète est malade !",Aline,49
Il faut accompagner les agriculteurs à ne plus utiliser de pesticide/herbicide en les formant aux alternatives bio.,Antoine,
Il faut arrêter de manger les animaux,Elisa,
Il faut favoriser les éco-villages,PattyDuBoisJoli,57
Il faut interdire la construction de bâtiments énergivores,philippe,
Il faut plafonner les retraites pour plus d'équité et instaurer un minimum garanti a 1200 €,sophie,
Il faut arrêter avec la culture de la voiture individuelle pour tous et partout (les véhicules électriques seront encore plus polluants),Germaine,50
"Il faut faire une campagne sur l’hygiène et comment maintenir les quartiers propres, et mettre des amendes en cas de non respect des règles",Nuria,
"Il faut s’engager dans le localisme et le minimalisme (sobriété), tout en créant et innovant pour le bien commun et une nouvelle croissance",Mathias,
Il faut interdire les élevages concentrationnaires. Cesser les importations de viande et poisson. ,fabrice,61
Il faut travailler moins d’heures par semaine pour créer de nouveaux emplois : deux salariés à 20h plutôt qu‘un à 40h. ,gaëlle,
"Il faut relocaliser en France  la production de médicaments, tests, masques, respirateurs et de tout ce qui est stratégique",Emmanuelle,
Il faut dire STOP à l'industrialisation du vivant et à l’élevage intensif. OUI aux petits élevages locaux et durables rémunérés à prix juste,Clara,20
Il faut totalement arrêter de fréquenter les fast-food et autres établissements qui vendent des produits issus de l'élevage intensif,Félix,47
Il faut encourager l'alimentation végétale,Syl,
Il faut interdire la commercialisation de produits dont la fabrication ou le transport ont un impact négatif important sur l'environnement,Rachel,
"Il faut arrêter l'élevage intensif, arrêter les élevages en batterie, il faut plus de respect de la vie animale",Michele,58
"Il faut interdire le glyphosate, réduire les pesticides de synthèse, interdire les OGM en agriculture.",Pascale,
Il faut un salaire identique quelque soit le sexe,Alice,43
"Il faut apprendre à partager et à prendre soin : jardins collectifs, compost, salles équipées pour les loisirs ",Blanche,
Il faut interdire de spéculer sur les matières premières qui nourrissent la Planète : blé maïs et riz,Mailhé,63
"Il faut sensibiliser le plus tôt possible sur les questions d'égalité, d'écologie, de solidarité...",Jessica,
"Il faut augmenter les salaires des personnels soignants et redonner des moyens à l'hôpital public, pour assurer la santé des français ",Isaline,
Il faut inciter les consommateurs à consommer des produits essentiels (interdire la production de produits énergivores et futiles) : besoins,Magaelle,
Il faut réinventer notre manière de consommer afin d'utiliser le moins de ressources possible. La planète n'a pas de ressources à l'infini!,Guiot,
Il faut interdire l'élevage et la culture intensive .,M.P.,
Il faut instaurer une taxe carbone aux sociétés polluantes et des réductions d’impôt à celles qui neutralisent leurs empreintes carbone  ,kevin,32
Il faut supprimer les élevages intensifs pour du plein air. C'est le contribuable qui paye le traitement des eaux polluées par les épandages,Guylaine,60
"Il faut limiter le nombres de vols par individus, instaurer un quota en plus d'imposer une taxe sur le kerozene.",Clara,
"Il faut contrôler le greenwashing. Cela ne peut plus être accepté, de la part de grandes ou petites entreprises.",Isabel,32
"Il faut interdire l'élevage intensif, en commençant par ne plus acheter les produits issus de celui-ci.",Félix,47
Il faut recenser les métiers indispensables au bon fonctionnement de notre société et revaloriser ces postes et leurs salaires,Carine,25
"Il faut mettre en place, à l'échelle planétaire, un système de tickets de rationnement afin de limiter la consommation",Patrick,
"Il faut relocaliser notre souveraineté fondamentale (alimentaire, médicale, industrielle) pour nous réapproprier nos savoirs-faire",stephen,38
"Il faut établir des normes anti-pollution pour le transport maritime (Cargos, Tankers, ...)",Matlum,
Il faut interdire la chasse,Sarah,
"Il faut taxer les transactions financières, boursières et autres.",MYRIAM,
Il faut / il faudra arrêter de dire il faut...il faudra agir !,andro,
Il faut arrêter l'élevage intensif et développer l'agriculture biologique,Catherine,64
Il faut que le vote soit obligatoire,youri,45
Il faut fournir plus de moyens aux services hospitaliers,Antoine,17
Il faut une ville verte pour demain avec des espaces verts et aussi des jardins potagers par exemple dans les copropriétés,Benoît,
Il faut créer un lieu unique de manifestations sportives monde chaque pays devenant organisateur et bénéficiant des recettes,Estelle,52
Il faut conditionner les aides pour la reprise après le confinement au respect de la biodiversité et la réduction du CO2,Thierry,60
Il faut traduire en justice les responsables de la déforestation,Thierry,60
"Il faut dans les écoles, collèges et lycées, un apprentissage obligatoire de compétences manuelles (réparation, agronomie, cuisine...)",Sandrine,
"Il faut renforcer les transports en commun, développer les petites lignes de train, pour à terme rendre les centres-ville aux piétons ",marion,
"Il faut organiser les logements de sorte que chaque famille dispose d'un jardin potager privé ou groupé, même sur les toits s'il le faut",Carmen,
Il faut organiser des journées pour planter tous ensemble des arbres près de sa commune,Nuria,
Il faut arrêter de construire sur des zones inondables marécages et bord de rivière,Colette,
Il faut punir davantage la maltraitante animale ,Sophia,
"Il faut généraliser à toutes les écoles, collèges, lycées l'éducation au développement durable (labellisation E3D) ",Pascal,
Il faut donner un demi revenu ou le RSA à celui qui reste à la maison pour faire les travaux ménagers et les repas faits-maison. ,Philippe,
"Il faut créer  des unités de production textile à moins de 1 km des hôpitaux en France et en UE pour la production de masques, blouses...",OLIVIER,56
Il faut décentraliser Paris au niveau des transports et faire des axes périphériques en couronne et sur tout le territoire. ,Edouard,
Il faut augmenter les salaires et créer plus de tranches d'imposition,Arnaud,
Il faut créer un rapprochement des agriculteurs locaux avec la population.,Nelly,
Il faut mieux  répartir l’argent entre le capital et le travail. ,Lu0704JuMa80,
Il faut intégrer des cours d’écologie à l'école : de la maternelle au lycée,Sylvie,
Il faut faire diminuer les surfaces goudronnées dans les moyennes et grandes villes ,David,39
Il faut conditionner les aides aux entreprises à une responsabilité sociale et environnementale,Catherine,59
Il faut réhabiliter le ferroutage afin de sauver la SNCF et limiter l'impact environnemental des transports par camion,Pierre,42
Il faut permettre aux salariés de quitter leur actuel emploi sans tracasserie administrative pour trouver un emploi proche de leur domicile,Catherine,
Il faut continuer les actions avec les producteurs locaux ,Michelle,60
"Il faut encourager les petits entrepreneurs, plus taxer les multinationales et moins taxer les TPE",Benoît,
Il faut instaurer un revenu maximum permettant de financer et revaloriser les revenus des métiers à valeur ajoutée santé environnement,Jean-Louis,
"Il faut élargir les connaissances des gens sur le lien entre la nourriture et la santé, leur apprendre à acheter et à cuisiner plus sain",luisa,
"Il faut en finir avec la culture agricole intensive, l'élevage forcé. Réinvestir dans une production alimentaire respectueuse et de qualité.",Annie,
"Il faut végétaliser les toits des bâtiments (administratifs, grandes surfaces..): les lichens et les mousses captent la pollution de l'air.",Olivia,
Il faut 1500€ de retraite pour tout le monde. Financée par la CSG.,Jean-Luc,
Il faut qu'un présentateur télé gagne 100x moins qu'un prix nobel,stef,
Il faut arrêter le suremballage pour limiter les déchets et la pollution par les plastiques.,Catherine,
"Il faut encourager l'installation d'agriculteurs pour concurrencer l'agriculture indus, pour assurer l'autonomie du pays en circuits courts.",Marie-Laure,
Il faut supprimer la possibilité d'essais médicaux sur les animaux,Florine,28
"Il faut créer un monde sans compétition, scolaire, sportive, professionnelle, etc... où chaque être a sa chance.",daniel,55
Il faut créer urgemment des minimas sociaux européens et uniformiser les droits et devoirs environnementaux ,David,39
"Il faut des émissions de télévision citoyennes qui informent, expliquent et encouragent les pratiques écoresponsables.",Audrey,
"Il faut reconnecter consommation et besoin. Moins de publicité, des gammes de produits moins étendues mais plus de qualité (local etc)",Adrienne,
"Il faut que nous arrêtions la production de viande tout en préservant la production de lait et d’œufs, avec élevage en liberté obligatoire.",Roger,60
Il faut financer les micro-projets d'habitats collectifs respectueux de l'environnement,Laurence,54
"Il faut supprimer les textes règlementaires qui autorisent les élevages intensifs de volailles, veaux, vaches, porcs, lapins...     ",Marie,
"Il faut créer des espaces/ateliers pour pouvoir réparer ses produits, et ainsi éviter de les jeter et de continuer à polluer inutilement",Nuria,
Il faut interdire tous les produits qui contribuent à tuer les abeilles.,Isabelle,
Il faut développer le ferroviaire pour alléger les routes et le ciel,kamiya,
"Il faut une transparence totale et absolue des élus par rapport aux lobbys, afin d'éviter tout conflit d'intérêt.",Jean,45
Il faut arrêter l'élevage intensif irrespectueux des animaux,Michele,58
Il faut réduire le nombre des véhicules à un seul par foyer ,Barbara,
Il faut que les producteurs de médicaments ne profitent pas des épidémies pour mettre sur le marché n'importe quels produits.,Nadir ,42
Il faut nationaliser certains agriculteurs,Benjamin,38
Il faut que la production d'énergie soit 100% renouvelable d'ici 2050 et totalement sous contrôle citoyen (riverains principalement).,Romain,31
Il faut que l'Etat et les Régions augmentent les subventions pour les cantines scolaires bio qui s'approvisionnent localement,Guillaume,59
"Il faut repenser notre politique européenne, pour ne pas fragiliser tous les pays in fine sur l'échiquier géopolitique mondiale",Sophie,
"Il faut pénaliser fiscalement le confinement des animaux en élevage intensif, et favoriser fiscalement l'élevage en plein air",Auxchamps,
"Il faut qu'il n'y ait plus de milliardaires c'est indécent, des plus riches sans doute mais pas des ultra-riches !!!",MONA,
"Il faut réserver les métiers pénibles aux 25 à 35 ans. Métiers non pénibles pour les autres, fin des inégalités retraite.",Jean,
Il faut encadrer fortement la publicité qui appelle à la surconsommation et épuise la planète.,Thomas,37
Il faut sortir de l'UE et de l'euro pour retrouver notre indépendance et sortir la France du modèle économique ultra-libéral.,Carole,56
Il faut en finir avec l'élevage intensif.,Corinne,68
"Il faut remettre au cœur les métiers vitaux pour chacun, pour la société, pour l'humanité : santé, services, art pour le bien-vivre ensemble",Kti,
Il faut revoir en profondeur le fonctionnement de l'Ordre des médecins,Régis,
Il faut apporter de la transparence dans toute la vie publique: accepter les publications scientifiques,Aline,39
Il faut plus d'éthique alimentaire pour le respect de la vie animale.,Anne-Marie,54
Il faut créer un maximum de micro fermes ,Diane,44
Il faut réduire le nombre de magasins vendant du neuf et renforcer le développement de magasins de seconde main.,Chloe,27
Il faut utiliser les logements vides des centres-villes pour accueillir les personnes vivant dans la rue.,Eve,28
"Il faut apprendre aux enfants et adultes à jardiner et atteindre une certaine autonomie alimentaire (jardin partagé, permaculture, compost)",Marina,
Il faut obliger les grandes surfaces à vendre un quota d’aliments en vrac pour limiter les emballages plastiques,Alexandre,
Il faut forcer les grandes entreprises à appliquer de réelles normes écologiques avec la relance économique certes mais surtout écologique,Manon,
"Il faut réduire l'élevage intensif et industriel et encourager financièrement les élevages bio, éthiques, durables et locaux.",J-Paul,
"Il faut sortir de la toute finance et de la mondialisation, qui a clairement montré ses limites, lors de la crise sanitaire actuelle ",Clara,
